gruppo_id,anno,percentuale_maschi,percentuale_femmine,gruppo_nome,eta_meno23,eta_23_24,eta_25_26,eta_27_oltre,cs_classe_elevata,cs_media_impiegatizia,cs_media_autonoma,cs_lavoro_esecutivo,diploma_liceale,diploma_classico,diploma_linguistico,diploma_scientifico,diploma_scienze_umane,diploma_artistico,diploma_tecnico,diploma_tecnico_economico,diploma_tecnico_tecnologico,diploma_professionale,diploma_titolo_estero
tutti,2004,41.1,58.9,tutti,14.3,24.4,24.3,36.9,,,,,67.0,16.6,5.0,36.9,7.0,1.5,26.1,13.6,8.8,3.4,1.3
tutti,2005,40.3,59.7,tutti,17.5,27.5,21.7,33.3,,,,,68.7,17.9,5.7,37.0,6.6,1.5,24.8,13.8,9.6,3.1,1.6
tutti,2006,40.2,59.8,tutti,17.6,28.7,21.0,32.8,,,,,68.2,17.0,5.5,36.4,7.5,1.7,26.6,15.7,10.4,2.9,1.7
tutti,2007,39.3,60.7,tutti,17.7,29.1,21.7,31.5,,,,,68.1,16.3,5.9,35.8,8.2,1.8,26.8,16.1,10.4,2.9,1.9
tutti,2008,39.9,60.1,tutti,17.3,29.0,23.4,30.3,,,,,67.8,15.8,6.1,36.2,7.8,1.9,27.0,16.0,10.9,2.9,2.1
tutti,2009,39.9,60.1,tutti,16.8,28.6,24.0,30.6,,,,,67.9,15.3,6.6,36.2,7.9,1.9,26.8,15.9,10.9,2.9,2.2
tutti,2010,39.7,60.3,tutti,17.3,28.1,24.2,30.4,,,,,68.9,14.9,7.0,37.4,7.6,1.9,25.8,15.2,10.6,2.8,2.4
tutti,2011,39.8,60.2,tutti,17.1,28.4,24.1,30.5,,,,,70.1,15.0,7.0,38.4,7.8,1.9,24.9,14.7,10.2,2.6,2.3
tutti,2012,39.8,60.2,tutti,17.7,29.0,23.5,29.8,,,,,71.4,15.3,6.9,39.3,7.9,2.0,23.5,13.7,9.8,2.6,2.4
tutti,2013,39.7,60.3,tutti,18.4,29.2,23.7,28.7,,,,,72.6,15.4,6.9,40.1,8.1,2.1,22.3,13.1,9.2,2.5,2.5
tutti,2014,39.6,60.4,tutti,19.3,29.3,23.9,27.5,,,,,73.9,15.8,6.8,41.2,8.0,2.0,21.2,12.4,8.8,2.3,2.6
tutti,2015,40.3,59.7,tutti,19.8,30.0,24.5,25.7,22.0,32.1,21.1,22.2,75.6,16.2,6.8,42.8,7.9,1.9,19.9,11.6,8.3,2.1,2.3
tutti,2016,40.8,59.2,tutti,20.7,30.2,24.5,24.6,22.2,32.3,21.9,21.5,76.6,16.5,6.9,43.7,7.9,1.6,19.2,11.3,7.9,1.8,2.3
tutti,2017,40.8,59.2,tutti,21.7,29.8,24.6,23.9,22.4,32.1,21.8,21.8,76.9,16.3,7.0,43.9,8.1,1.6,19.0,11.2,7.8,1.8,2.2
tutti,2018,41.3,58.7,tutti,23.5,29.4,24.3,22.8,22.4,32.0,22.4,21.6,76.9,16.0,7.5,43.7,8.2,1.6,18.8,10.8,8.0,2.0,2.2
tutti,2019,41.3,58.7,tutti,24.8,29.5,23.4,22.3,22.4,31.8,22.5,21.8,76.5,15.3,8.3,42.7,8.4,1.7,18.9,10.7,8.2,2.1,2.3
tutti,2020,41.3,58.7,tutti,24.8,30.3,22.8,22.1,22.4,31.6,22.5,21.9,75.4,14.7,9.0,41.3,8.5,1.9,19.5,11.1,8.5,2.4,2.5
tutti,2021,40.6,59.4,tutti,25.3,30.6,22.8,21.3,22.3,31.3,22.7,22.1,74.8,13.7,9.8,40.4,9.0,2.0,19.7,10.9,8.8,2.6,2.7
tutti,2022,40.3,59.7,tutti,26.2,30.8,22.5,20.5,22.8,30.9,22.3,22.3,74.6,13.2,10.8,39.3,9.2,2.1,19.5,10.6,9.0,2.8,2.9
tutti,2023,40.0,60.0,tutti,25.7,31.1,22.4,20.8,22.4,30.7,22.4,22.8,73.5,12.2,11.6,38.0,9.4,2.3,19.8,10.6,9.2,3.1,3.4
tutti,2024,40.1,59.9,tutti,26.0,31.1,22.0,20.9,22.4,30.7,22.0,23.2,73.0,11.7,11.9,37.5,9.6,2.3,19.7,10.3,9.4,3.3,3.9
1,2004,8.0,92.0,Educazione e Formazione,6.2,27.5,25.7,40.6,,,,,74.2,12.0,4.6,20.3,36.0,1.4,15.9,9.4,2.2,6.2,0.3
1,2005,8.5,91.5,Educazione e Formazione,9.1,28.7,21.5,40.7,,,,,72.8,11.4,4.8,19.3,36.0,1.3,15.9,11.1,2.9,6.5,0.4
1,2006,8.8,91.2,Educazione e Formazione,9.3,26.6,20.4,43.7,,,,,74.1,10.9,4.1,18.9,38.7,1.5,18.7,14.3,3.3,5.5,0.5
1,2007,8.3,91.7,Educazione e Formazione,9.1,25.1,18.4,47.4,,,,,74.7,10.0,4.8,17.6,40.7,1.5,19.4,15.6,3.5,5.0,0.6
1,2008,8.2,91.8,Educazione e Formazione,10.0,25.7,17.5,46.8,,,,,74.3,9.7,5.5,17.9,39.4,1.8,19.0,15.7,3.3,5.5,1.0
1,2009,7.6,92.4,Educazione e Formazione,9.8,25.8,17.7,46.8,,,,,73.8,9.1,6.0,17.0,40.0,1.7,19.8,16.5,3.3,5.5,0.7
1,2010,7.8,92.2,Educazione e Formazione,10.4,25.5,17.2,46.9,,,,,73.9,9.2,5.8,18.1,39.2,1.5,19.9,16.6,3.3,5.4,0.6
1,2011,7.4,92.6,Educazione e Formazione,9.7,25.3,17.4,47.6,,,,,75.1,9.3,6.6,17.8,39.4,2.1,19.1,15.8,3.3,4.9,0.9
1,2012,7.4,92.6,Educazione e Formazione,11.3,27.3,16.0,45.3,,,,,75.9,9.3,6.0,17.8,40.7,2.1,18.3,15.4,2.9,4.8,0.9
1,2013,6.4,93.6,Educazione e Formazione,13.2,28.5,16.4,41.9,,,,,77.1,9.7,6.5,18.0,40.6,2.2,16.9,14.4,2.5,5.0,0.9
1,2014,6.2,93.8,Educazione e Formazione,14.5,28.1,16.5,40.9,,,,,77.5,9.6,6.3,18.5,40.9,2.3,17.1,14.4,2.7,4.4,0.8
1,2015,6.5,93.5,Educazione e Formazione,16.9,28.9,17.3,37.0,11.1,28.4,24.4,32.4,77.5,9.7,6.0,17.5,41.9,2.5,17.3,14.7,2.6,4.4,0.6
1,2016,6.3,93.7,Educazione e Formazione,18.2,30.3,18.9,32.5,11.7,29.3,24.7,31.1,79.0,10.1,6.4,19.3,40.7,2.4,16.1,13.8,2.3,4.1,0.8
1,2017,6.1,93.9,Educazione e Formazione,17.6,32.0,20.0,30.3,12.2,30.0,24.9,30.6,79.3,10.5,6.5,20.0,40.3,2.2,16.2,13.8,2.4,3.6,0.8
1,2018,6.1,93.9,Educazione e Formazione,17.8,31.6,20.7,29.9,11.9,30.3,24.9,30.7,78.8,10.2,6.4,19.4,40.6,2.2,15.7,13.1,2.5,4.7,0.7
1,2019,6.1,93.9,Educazione e Formazione,18.9,31.8,19.8,29.5,12.4,29.6,25.5,30.7,79.0,10.2,7.2,20.0,39.2,2.5,14.7,12.1,2.6,5.6,0.5
1,2020,6.3,93.7,Educazione e Formazione,17.8,31.8,19.9,30.6,12.4,30.1,25.2,30.3,78.2,10.1,7.9,18.6,39.1,2.6,14.8,12.1,2.7,6.1,0.8
1,2021,6.3,93.7,Educazione e Formazione,17.5,32.4,19.4,30.8,12.3,28.8,25.5,31.1,76.8,9.1,8.4,17.2,39.3,2.8,15.3,12.4,2.9,7.2,0.6
1,2022,6.4,93.6,Educazione e Formazione,18.9,31.7,19.2,30.2,12.6,28.4,25.0,31.6,77.7,9.3,9.1,16.9,39.3,3.1,14.2,11.5,2.7,7.3,0.6
1,2023,5.8,94.2,Educazione e Formazione,19.1,32.7,18.9,29.4,12.3,28.0,25.1,32.3,75.7,7.8,9.8,15.5,39.3,3.3,14.8,11.8,3.0,8.7,0.7
1,2024,5.6,94.4,Educazione e Formazione,19.1,32.6,18.3,30.0,12.1,28.3,24.9,32.5,75.8,7.7,10.9,15.4,38.5,3.2,15.0,12.1,2.9,8.5,0.5
2,2004,28.9,71.1,Arte e Design,13.4,29.3,27.1,30.3,,,,,77.1,23.9,7.4,27.3,6.5,11.9,15.4,7.1,5.1,3.2,1.4
2,2005,29.0,71.0,Arte e Design,18.5,33.1,22.2,26.2,,,,,78.7,25.7,7.4,28.2,6.3,11.2,14.0,6.1,6.3,3.3,1.5
2,2006,28.8,71.2,Arte e Design,16.9,34.6,23.4,25.2,,,,,81.0,26.4,7.3,29.5,6.4,11.3,13.6,7.0,6.0,3.1,1.6
2,2007,28.6,71.4,Arte e Design,17.0,33.7,22.9,26.4,,,,,79.9,24.1,7.6,28.1,7.1,13.0,14.9,8.2,6.4,3.2,1.6
2,2008,28.6,71.4,Arte e Design,16.3,33.7,24.6,25.5,,,,,79.2,22.5,7.9,28.7,7.0,13.1,15.5,9.1,6.4,3.4,1.7
2,2009,29.9,70.1,Arte e Design,16.1,32.7,24.5,26.7,,,,,78.2,22.4,8.1,28.3,6.1,13.4,16.0,9.2,6.8,3.4,2.1
2,2010,30.8,69.2,Arte e Design,16.4,30.3,25.4,27.9,,,,,77.8,21.3,9.1,27.4,6.2,13.7,16.1,9.1,7.0,3.6,2.3
2,2011,27.7,72.3,Arte e Design,16.0,29.5,23.8,30.6,,,,,78.4,21.6,8.4,27.8,6.2,14.3,15.0,8.9,6.1,3.8,2.7
2,2012,28.5,71.5,Arte e Design,16.8,30.0,22.9,30.4,,,,,79.1,22.8,8.2,27.1,6.1,14.8,14.0,8.2,5.8,3.9,2.8
2,2013,27.3,72.7,Arte e Design,18.8,28.2,22.5,30.5,,,,,80.3,22.7,8.3,27.1,7.1,15.1,13.4,8.3,5.1,3.4,2.7
2,2014,28.0,72.0,Arte e Design,19.2,29.4,21.9,29.6,,,,,79.9,23.2,8.8,26.7,6.9,14.3,13.3,8.1,5.3,3.3,3.3
2,2015,27.3,72.7,Arte e Design,20.9,29.0,21.5,28.6,22.7,32.6,21.0,20.4,82.1,24.0,9.2,27.2,7.0,14.6,11.9,7.0,4.8,3.0,2.9
2,2016,27.8,72.2,Arte e Design,22.3,29.6,21.3,26.8,22.4,33.4,21.3,20.4,81.4,23.3,8.8,27.4,7.4,14.5,12.4,7.5,4.9,2.5,3.6
2,2017,28.4,71.6,Arte e Design,24.7,29.3,20.4,25.6,23.8,33.0,21.5,19.4,81.2,23.5,9.0,27.2,7.5,14.1,12.4,7.8,4.6,2.5,3.8
2,2018,29.4,70.6,Arte e Design,26.4,29.9,19.9,23.8,23.8,32.8,22.2,19.4,80.3,22.6,9.3,27.5,7.2,13.7,12.4,7.3,5.1,3.0,4.1
2,2019,27.6,72.4,Arte e Design,28.8,29.7,19.5,22.0,24.3,32.5,21.8,19.6,81.1,21.1,11.2,26.0,8.0,14.9,12.1,7.1,5.0,2.7,3.8
2,2020,28.8,71.2,Arte e Design,27.1,31.3,19.2,22.4,22.9,32.8,22.6,20.3,80.0,20.0,11.6,24.6,7.9,15.9,12.9,7.4,5.5,3.0,3.9
2,2021,27.4,72.6,Arte e Design,27.6,30.5,20.1,21.8,23.6,31.2,22.6,20.5,79.4,19.7,11.4,24.0,8.5,15.8,12.9,7.6,5.3,3.0,4.5
2,2022,27.8,72.2,Arte e Design,27.5,30.6,20.3,21.6,24.5,31.2,22.0,20.4,78.6,18.1,13.0,22.4,8.3,16.7,13.2,7.8,5.4,3.1,4.9
2,2023,28.2,71.8,Arte e Design,28.4,29.5,20.3,21.9,24.2,31.0,21.6,21.1,78.8,15.9,14.8,21.9,8.6,17.6,13.0,7.3,5.8,3.4,4.4
2,2024,27.3,72.7,Arte e Design,28.1,29.5,20.6,21.8,24.6,31.3,21.4,21.0,78.9,15.8,14.9,21.8,8.7,17.7,13.0,7.7,5.3,3.4,4.5
3,2004,27.2,72.8,Letterario-Umanistico,8.8,20.9,26.2,44.1,,,,,83.7,38.0,4.7,26.2,12.3,2.5,10.9,5.5,3.0,2.3,0.7
3,2005,28.4,71.6,Letterario-Umanistico,12.8,22.9,21.5,42.8,,,,,86.0,40.7,5.0,26.3,11.6,2.4,9.1,5.4,3.0,1.9,0.9
3,2006,30.5,69.5,Letterario-Umanistico,15.5,23.5,20.6,40.4,,,,,86.6,38.7,5.5,27.6,12.2,2.6,10.1,6.2,3.4,1.8,0.8
3,2007,31.5,68.5,Letterario-Umanistico,18.5,26.3,18.4,36.8,,,,,86.4,39.1,5.5,28.1,11.7,2.1,10.3,6.3,3.7,1.8,1.1
3,2008,31.8,68.2,Letterario-Umanistico,19.0,28.1,20.6,32.4,,,,,86.6,39.8,6.3,27.5,10.7,2.2,10.3,6.5,3.8,1.3,1.5
3,2009,33.7,66.3,Letterario-Umanistico,18.6,28.1,21.4,31.9,,,,,87.1,37.5,7.0,29.3,11.2,2.0,9.7,5.8,3.8,1.3,1.7
3,2010,34.0,66.0,Letterario-Umanistico,20.2,26.8,21.0,32.1,,,,,86.8,38.4,6.6,29.4,10.3,2.1,10.1,6.4,3.7,1.4,1.5
3,2011,32.3,67.7,Letterario-Umanistico,20.9,26.4,21.2,31.5,,,,,88.1,38.9,6.9,29.6,10.9,1.8,8.9,5.4,3.5,1.3,1.7
3,2012,32.7,67.3,Letterario-Umanistico,20.1,28.5,20.7,30.7,,,,,88.2,39.4,6.6,30.1,10.2,1.8,8.8,5.3,3.5,1.2,1.6
3,2013,32.5,67.5,Letterario-Umanistico,20.3,28.9,21.4,29.4,,,,,89.1,40.0,7.0,29.8,10.2,2.1,8.3,5.2,3.1,1.2,1.3
3,2014,31.7,68.3,Letterario-Umanistico,20.2,28.5,22.6,28.7,,,,,88.8,40.8,6.4,29.3,10.2,2.0,8.3,5.2,3.1,1.3,1.4
3,2015,34.5,65.5,Letterario-Umanistico,21.3,28.0,23.8,26.9,22.4,35.5,19.0,20.5,90.2,41.8,6.1,30.6,9.8,2.0,7.2,4.4,2.8,1.1,1.3
