anno,anni_da_conseguimento_titolo,gruppo,ateneo,numero_laureati,percentuale_maschi,percentuale_femmine,tasso_occupazione_totale,tasso_disoccupazione_totale,retribuzione_mensile_maschi,retribuzione_mensile_femmine,retribuzione_mensile
2008,1,14,tutti,22821.0,29.0,71.0,85.0,8.0,1402.0,1217.0,1271.0
2009,1,14,tutti,23980.0,30.1,69.9,82.2,9.6,1384.0,1221.0,1270.0
2010,1,14,tutti,25889.0,31.0,69.0,80.8,11.2,1380.0,1222.0,1271.0
2011,1,14,tutti,26478.0,31.1,68.9,75.1,16.3,1336.0,1158.0,1213.0
2012,1,14,tutti,30641.0,31.0,69.0,70.2,21.6,1254.0,1098.0,1145.0
2013,1,14,tutti,31154.0,30.7,69.3,65.1,26.6,1194.0,1027.0,1078.0
2014,1,14,tutti,33566.0,31.2,68.8,60.8,28.0,1208.0,1041.0,1093.0
2015,1,14,tutti,39648.0,30.8,69.2,65.8,22.4,1294.0,1122.0,1175.0
2016,1,14,tutti,39137.0,31.4,68.6,67.9,18.9,1342.0,1183.0,1232.0
2017,1,14,tutti,40046.0,31.3,68.7,69.5,15.7,1359.0,1169.0,1229.0
2018,1,14,tutti,39589.0,32.0,68.0,71.1,13.1,1412.0,1252.0,1301.0
2019,1,14,tutti,40607.0,32.3,67.7,74.2,10.4,1484.0,1296.0,1355.0
2020,1,14,tutti,40313.0,32.3,67.7,72.3,11.1,1659.0,1465.0,1527.0
2021,1,14,tutti,39022.0,32.3,67.7,79.7,5.9,1699.0,1535.0,1589.0
2022,1,14,tutti,40246.0,31.1,68.9,79.0,5.2,1680.0,1522.0,1573.0
2023,1,14,tutti,38338.0,30.6,69.4,78.5,5.0,1689.0,1568.0,1606.0
2024,1,14,tutti,40130.0,30.7,69.3,84.6,5.0,1757.0,1613.0,1658.0
2008,3,14,tutti,2445.0,39.2,60.8,95.4,1.1,1691.0,1262.0,1424.0
2009,3,14,tutti,2276.0,33.4,66.6,94.5,1.8,1539.0,1214.0,1318.0
2010,3,14,tutti,7808.0,32.5,67.5,94.9,2.0,1590.0,1364.0,1435.0
2011,3,14,tutti,8828.0,33.8,66.2,93.8,2.7,1499.0,1306.0,1366.0
2012,3,14,tutti,9879.0,34.0,66.0,92.4,3.6,1508.0,1262.0,1340.0
2013,3,14,tutti,10564.0,33.2,66.8,91.5,4.5,1495.0,1249.0,1327.0
2014,3,14,tutti,11817.0,35.0,65.0,90.1,5.3,1452.0,1251.0,1318.0
2015,3,14,tutti,14863.0,35.5,64.5,89.1,5.3,1514.0,1311.0,1377.0
2016,3,14,tutti,15308.0,35.4,64.6,89.5,4.4,1524.0,1329.0,1393.0
2017,3,14,tutti,15765.0,34.2,65.8,90.8,3.7,1533.0,1333.0,1394.0
2018,3,14,tutti,16769.0,35.0,65.0,89.9,3.7,1611.0,1391.0,1460.0
2019,3,14,tutti,17874.0,35.6,64.4,92.0,3.1,1654.0,1419.0,1493.0
2020,3,14,tutti,18622.0,37.1,62.9,92.1,3.1,1718.0,1485.0,1563.0
2021,3,14,tutti,19928.0,38.1,61.9,92.4,2.2,1684.0,1552.0,1604.0
2022,3,14,tutti,20133.0,38.3,61.7,90.8,2.3,1724.0,1589.0,1642.0
2023,3,14,tutti,20836.0,38.2,61.8,91.5,2.1,1715.0,1604.0,1647.0
2024,3,14,tutti,21482.0,38.0,62.0,94.2,2.0,1757.0,1650.0,1691.0
2008,5,14,tutti,2036.0,37.2,62.8,94.2,1.7,1938.0,1540.0,1681.0
2009,5,14,tutti,2439.0,37.1,62.9,95.1,1.9,1976.0,1588.0,1724.0
2010,5,14,tutti,2494.0,38.9,61.1,94.3,2.2,1974.0,1586.0,1729.0
2011,5,14,tutti,870.0,35.5,64.5,88.4,6.8,1702.0,1392.0,1501.0
2012,5,14,tutti,7800.0,32.5,67.5,91.3,4.9,1751.0,1506.0,1583.0
2013,5,14,tutti,8828.0,33.8,66.2,93.8,2.9,1649.0,1385.0,1469.0
2014,5,14,tutti,9878.0,34.0,66.0,92.7,3.5,1616.0,1375.0,1452.0
2015,5,14,tutti,12820.0,33.4,66.6,92.2,3.5,1687.0,1387.0,1482.0
2016,5,14,tutti,14187.0,35.1,64.9,91.3,4.2,1673.0,1429.0,1510.0
2017,5,14,tutti,14903.0,35.4,64.6,91.2,3.5,1742.0,1435.0,1538.0
2018,5,14,tutti,15357.0,35.3,64.7,90.0,3.1,1757.0,1474.0,1567.0
2019,5,14,tutti,15764.0,34.2,65.8,91.1,3.2,1743.0,1480.0,1561.0
2020,5,14,tutti,16769.0,35.0,65.0,92.1,2.6,1874.0,1587.0,1677.0
2021,5,14,tutti,17874.0,35.6,64.4,91.7,2.4,1812.0,1640.0,1702.0
2022,5,14,tutti,18622.0,37.1,62.9,90.8,2.7,1885.0,1700.0,1768.0
2023,5,14,tutti,19928.0,38.1,61.9,91.5,2.5,1908.0,1748.0,1809.0
2024,5,14,tutti,20168.0,38.3,61.7,93.8,1.9,1963.0,1799.0,1863.0
2008,1,15,tutti,1848.0,54.6,45.4,72.9,10.0,805.0,672.0,744.0
2009,1,15,tutti,2160.0,57.7,42.3,70.5,13.3,855.0,678.0,778.0
2010,1,15,tutti,2299.0,61.3,38.7,71.3,13.1,836.0,685.0,775.0
2011,1,15,tutti,2602.0,62.3,37.7,69.9,13.8,822.0,713.0,780.0
2012,1,15,tutti,3282.0,62.7,37.3,67.1,16.0,743.0,630.0,701.0
2013,1,15,tutti,3553.0,60.9,39.1,64.8,18.0,719.0,587.0,668.0
2014,1,15,tutti,3574.0,63.0,37.0,63.1,18.1,736.0,572.0,677.0
2015,1,15,tutti,4804.0,63.4,36.6,61.0,17.0,732.0,620.0,692.0
2016,1,15,tutti,4822.0,65.0,35.0,61.1,16.3,778.0,612.0,720.0
2017,1,15,tutti,5085.0,65.2,34.8,64.8,11.2,752.0,616.0,705.0
2018,1,15,tutti,5367.0,68.9,31.1,58.9,11.4,785.0,640.0,740.0
2019,1,15,tutti,5383.0,68.5,31.5,59.6,10.5,815.0,687.0,772.0
2020,1,15,tutti,6238.0,67.1,32.9,48.2,16.8,821.0,656.0,767.0
2021,1,15,tutti,6352.0,68.3,31.7,52.0,14.9,903.0,737.0,851.0
2022,1,15,tutti,6649.0,68.4,31.6,52.7,12.0,905.0,739.0,854.0
2023,1,15,tutti,6191.0,67.7,32.3,53.0,11.6,955.0,807.0,906.0
2024,1,15,tutti,7685.0,68.6,31.4,61.5,10.3,1078.0,891.0,1020.0
2008,3,15,tutti,129.0,55.0,45.0,82.7,8.1,991.0,763.0,881.0
2009,3,15,tutti,63.0,57.1,42.9,67.3,24.5,1115.0,1012.0,1073.0
2010,3,15,tutti,178.0,63.5,36.5,87.3,6.8,1157.0,953.0,1079.0
2011,3,15,tutti,227.0,63.9,36.1,84.7,11.0,1245.0,833.0,1087.0
2012,3,15,tutti,235.0,68.5,31.5,86.6,9.0,1047.0,973.0,1023.0
2013,3,15,tutti,311.0,68.2,31.8,85.0,10.4,1084.0,839.0,1003.0
2014,3,15,tutti,502.0,66.1,33.9,80.3,13.0,1119.0,890.0,1043.0
2015,3,15,tutti,591.0,67.5,32.5,85.8,6.4,1070.0,956.0,1035.0
2016,3,15,tutti,582.0,67.5,32.5,83.7,8.0,1227.0,1053.0,1175.0
2017,3,15,tutti,679.0,63.5,36.5,85.8,7.1,1170.0,1036.0,1122.0
2018,3,15,tutti,679.0,70.1,29.9,83.6,8.5,1226.0,1056.0,1177.0
2019,3,15,tutti,765.0,68.0,32.0,87.7,6.7,1245.0,1109.0,1204.0
2020,3,15,tutti,802.0,71.7,28.3,84.5,8.2,1206.0,979.0,1141.0
2021,3,15,tutti,904.0,74.0,26.0,86.6,4.2,1273.0,1156.0,1241.0
2022,3,15,tutti,933.0,73.1,26.9,86.4,5.3,1381.0,1212.0,1341.0
2023,3,15,tutti,1113.0,76.5,23.5,84.2,5.4,1424.0,1332.0,1405.0
2024,3,15,tutti,1130.0,74.7,25.3,89.0,4.9,1441.0,1331.0,1417.0
2008,5,15,tutti,52.0,34.6,65.4,88.9,4.8,1299.0,1001.0,1105.0
2009,5,15,tutti,123.0,57.7,42.3,78.9,10.1,1190.0,980.0,1099.0
2010,5,15,tutti,125.0,53.6,46.4,86.5,4.6,1260.0,920.0,1095.0
2011,5,15,tutti,63.0,57.1,42.9,82.2,7.5,1070.0,954.0,1019.0
2012,5,15,tutti,178.0,63.5,36.5,86.6,9.8,1139.0,1021.0,1097.0
2013,5,15,tutti,227.0,63.9,36.1,82.4,12.3,1176.0,910.0,1083.0
2014,5,15,tutti,235.0,68.5,31.5,87.2,8.2,1208.0,1082.0,1170.0
2015,5,15,tutti,353.0,66.3,33.7,80.1,10.7,1186.0,1034.0,1134.0
2016,5,15,tutti,578.0,66.4,33.6,82.7,8.4,1301.0,1120.0,1241.0
2017,5,15,tutti,591.0,67.5,32.5,88.1,5.8,1296.0,1127.0,1244.0
2018,5,15,tutti,582.0,67.5,32.5,87.7,6.7,1441.0,1207.0,1371.0
2019,5,15,tutti,679.0,63.5,36.5,84.6,8.1,1377.0,1248.0,1328.0
2020,5,15,tutti,679.0,70.1,29.9,81.4,11.3,1368.0,1228.0,1331.0
2021,5,15,tutti,765.0,68.0,32.0,87.6,4.6,1469.0,1257.0,1405.0
2022,5,15,tutti,802.0,71.7,28.3,85.9,3.8,1474.0,1352.0,1440.0
2023,5,15,tutti,904.0,74.0,26.0,87.3,5.2,1576.0,1504.0,1557.0
2024,5,15,tutti,933.0,73.1,26.9,88.3,5.9,1696.0,1516.0,1652.0
